ticket_id,subject,type,source,status,priority,agent,group,created_at,resolved_at,resolution_hours,sla_breached,csat_score,tags,month,day_of_week
TKT-0020,Integration not working,Feature Request,Email,Pending,High,Oluwatosin A.,IT Helpdesk,2024-04-14 21:45:00,,,False,,billing,2024-04,Sunday
TKT-0021,App crashing on mobile,Incident,Social Media,Pending,High,Emeka C.,Technical Support,2024-02-07 17:13:00,,,False,,email,2024-02,Wednesday
TKT-0022,Email notifications not working,Feature Request,Social Media,Resolved,Medium,Chisom B.,Customer Success,2025-04-22 21:06:00,2025-04-25 20:06:00,71.0,False,2.0,mobile,2025-04,Tuesday
TKT-0023,API rate limit exceeded,Feature Request,Email,Closed,High,Oluwatosin A.,Customer Success,2024-12-17 20:54:00,2024-12-18 01:54:00,5.0,False,4.0,bug,2024-12,Tuesday
TKT-0024,Data export failing,Problem,Chat,Closed,Urgent,Kelechi E.,Billing,2024-11-22 08:10:00,2024-11-22 09:10:00,1.0,False,2.0,upgrade,2024-11,Friday
TKT-0025,Password reset not received,Incident,Social Media,Open,High,Chisom B.,Billing,2024-03-06 01:19:00,,,True,,bug,2024-03,Wednesday
TKT-0026,Email notifications not working,Question,Email,Open,Urgent,Fatima D.,Technical Support,2025-05-14 05:56:00,,,True,,report,2025-05,Wednesday
TKT-0027,Slow loading dashboard,Feature Request,Chat,Resolved,Urgent,Oluwatosin A.,Customer Success,2024-04-23 06:52:00,2024-04-23 09:52:00,3.0,False,2.0,api,2024-04,Tuesday
TKT-0028,Cannot login to account,Problem,Social Media,Open,High,Fatima D.,Customer Success,2024-11-24 16:25:00,,,False,,api,2024-11,Sunday
TKT-0029,Cannot login to account,Question,Chat,Closed,Low,Fatima D.,Technical Support,2024-08-11 19:32:00,2024-08-18 13:32:00,162.0,False,4.0,api,2024-08,Sunday
TKT-0030,Data export failing,Question,Phone,Resolved,Low,Fatima D.,IT Helpdesk,2024-11-15 10:42:00,2024-11-20 13:42:00,123.0,False,3.0,bug,2024-11,Friday
TKT-0031,Integration not working,Incident,Portal,Open,Urgent,Chisom B.,IT Helpdesk,2024-11-11 18:19:00,,,False,,bug,2024-11,Monday
TKT-0032,Cannot login to account,Problem,Phone,Open,High,Fatima D.,Technical Support,2024-12-03 02:18:00,,,True,,report,2024-12,Tuesday
TKT-0033,Report download failing,Problem,Portal,Closed,Medium,Chisom B.,Billing,2024-07-31 20:36:00,2024-08-02 11:36:00,39.0,False,1.0,report,2024-07,Wednesday
TKT-0034,Account suspended incorrectly,Feature Request,Portal,Closed,Low,Kelechi E.,IT Helpdesk,2024-01-26 17:15:00,2024-02-01 12:15:00,139.0,False,5.0,report,2024-01,Friday
TKT-0035,Integration not working,Question,Chat,Closed,Urgent,Fatima D.,Technical Support,2025-04-04 05:47:00,2025-04-04 08:47:00,3.0,False,5.0,email,2025-04,Friday
TKT-0036,Invoice not generated,Question,Email,Open,High,Fatima D.,IT Helpdesk,2024-04-30 08:21:00,,,True,,api,2024-04,Tuesday
TKT-0037,API rate limit exceeded,Incident,Portal,Pending,Low,Oluwatosin A.,Customer Success,2024-10-04 14:26:00,,,True,,email,2024-10,Friday
TKT-0038,Cannot login to account,Incident,Chat,Pending,Urgent,Fatima D.,Billing,2025-01-20 12:54:00,,,False,,report,2025-01,Monday
TKT-0039,API rate limit exceeded,Incident,Phone,Closed,Low,Oluwatosin A.,Customer Success,2025-04-15 04:39:00,2025-04-20 10:39:00,126.0,False,2.0,upgrade,2025-04,Tuesday
TKT-0040,API rate limit exceeded,Problem,Portal,Resolved,High,Oluwatosin A.,Technical Support,2024-06-16 06:29:00,2024-06-16 18:29:00,12.0,False,3.0,api,2024-06,Sunday
TKT-0041,Request for account upgrade,Question,Portal,Open,Low,Oluwatosin A.,Billing,2024-04-24 20:04:00,,,True,,report,2024-04,Wednesday
TKT-0042,Report download failing,Feature Request,Social Media,Pending,High,Fatima D.,IT Helpdesk,2024-12-24 08:49:00,,,True,,mobile,2024-12,Tuesday
TKT-0043,Password reset not received,Incident,Chat,Open,Medium,Oluwatosin A.,Customer Success,2024-02-08 18:44:00,,,True,,login,2024-02,Thursday
TKT-0044,Slow loading dashboard,Question,Social Media,Open,Urgent,Emeka C.,IT Helpdesk,2025-03-10 13:52:00,,,True,,report,2025-03,Monday
TKT-0045,Two factor authentication issue,Incident,Social Media,Resolved,High,Kelechi E.,IT Helpdesk,2024-08-11 23:37:00,2024-08-12 05:37:00,6.0,False,2.0,api,2024-08,Sunday
TKT-0046,Email notifications not working,Feature Request,Social Media,Pending,High,Oluwatosin A.,Billing,2024-01-15 15:54:00,,,False,,billing,2024-01,Monday
TKT-0047,Two factor authentication issue,Problem,Email,Pending,Urgent,Emeka C.,Billing,2024-05-03 23:26:00,,,False,,upgrade,2024-05,Friday
TKT-0048,Password reset not received,Incident,Chat,Closed,High,Emeka C.,Customer Success,2024-12-20 07:19:00,2024-12-21 00:19:00,17.0,False,3.0,mobile,2024-12,Friday
TKT-0049,Email notifications not working,Feature Request,Email,Open,High,Chisom B.,Customer Success,2024-03-02 23:12:00,,,False,,mobile,2024-03,Saturday
TKT-0050,Invoice not generated,Question,Portal,Pending,Low,Oluwatosin A.,Technical Support,2024-07-03 05:19:00,,,False,,email,2024-07,Wednesday
TKT-0051,Slow loading dashboard,Incident,Email,Pending,High,Kelechi E.,Technical Support,2024-08-28 15:28:00,,,True,,bug,2024-08,Wednesday
TKT-0052,Two factor authentication issue,Incident,Portal,Pending,Low,Fatima D.,Customer Success,2024-03-17 18:19:00,,,True,,upgrade,2024-03,Sunday
TKT-0053,App crashing on mobile,Question,Phone,Open,Low,Kelechi E.,Technical Support,2024-06-05 18:39:00,,,True,,bug,2024-06,Wednesday
TKT-0054,Invoice not generated,Incident,Email,Resolved,Urgent,Chisom B.,Customer Success,2024-01-02 13:28:00,2024-01-02 14:28:00,1.0,False,3.0,mobile,2024-01,Tuesday
TKT-0055,Two factor authentication issue,Feature Request,Social Media,Pending,Medium,Kelechi E.,Customer Success,2024-08-05 03:34:00,,,True,,report,2024-08,Monday
TKT-0056,Billing charge incorrect,Problem,Portal,Closed,High,Emeka C.,Customer Success,2024-03-04 14:44:00,2024-03-05 10:44:00,20.0,False,4.0,login,2024-03,Monday
TKT-0057,Report download failing,Feature Request,Phone,Resolved,Low,Kelechi E.,IT Helpdesk,2024-02-16 07:43:00,2024-02-22 01:43:00,138.0,False,4.0,report,2024-02,Friday
TKT-0058,Password reset not received,Incident,Portal,Closed,High,Emeka C.,IT Helpdesk,2025-05-11 02:30:00,2025-05-11 16:30:00,14.0,False,2.0,login,2025-05,Sunday
TKT-0059,Integration not working,Incident,Email,Resolved,High,Chisom B.,Customer Success,2024-08-20 02:20:00,2024-08-20 18:20:00,16.0,False,5.0,report,2024-08,Tuesday
TKT-0060,Report download failing,Incident,Email,Pending,Low,Oluwatosin A.,Billing,2024-11-16 14:48:00,,,False,,bug,2024-11,Saturday
TKT-0061,Integration not working,Feature Request,Social Media,Open,Urgent,Emeka C.,IT Helpdesk,2024-06-08 17:00:00,,,True,,report,2024-06,Saturday
TKT-0062,API rate limit exceeded,Problem,Chat,Closed,Medium,Fatima D.,Customer Success,2024-08-29 07:29:00,2024-08-31 15:29:00,56.0,False,2.0,email,2024-08,Thursday
TKT-0063,Password reset not received,Incident,Portal,Closed,High,Emeka C.,Billing,2025-02-24 00:18:00,2025-02-24 18:18:00,18.0,False,3.0,mobile,2025-02,Monday
TKT-0064,Feature not available on plan,Question,Portal,Open,Urgent,Oluwatosin A.,Billing,2024-10-19 12:14:00,,,False,,api,2024-10,Saturday
TKT-0065,API rate limit exceeded,Question,Email,Open,Urgent,Fatima D.,Customer Success,2025-03-21 03:55:00,,,False,,api,2025-03,Friday
TKT-0066,API rate limit exceeded,Problem,Social Media,Resolved,Low,Oluwatosin A.,Billing,2024-11-15 22:25:00,2024-11-22 17:25:00,163.0,False,4.0,email,2024-11,Friday
TKT-0067,Report download failing,Problem,Email,Open,Urgent,Emeka C.,Technical Support,2024-04-26 23:05:00,,,False,,email,2024-04,Friday
TKT-0068,App crashing on mobile,Problem,Social Media,Pending,Medium,Fatima D.,Billing,2024-07-02 11:27:00,,,True,,report,2024-07,Tuesday
TKT-0069,Report download failing,Incident,Chat,Closed,Medium,Kelechi E.,Billing,2025-04-12 18:09:00,2025-04-14 10:09:00,40.0,False,1.0,billing,2025-04,Saturday
TKT-0070,API rate limit exceeded,Incident,Email,Closed,High,Chisom B.,IT Helpdesk,2024-08-14 11:37:00,2024-08-15 05:37:00,18.0,False,4.0,api,2024-08,Wednesday
TKT-0071,Report download failing,Incident,Chat,Open,High,Chisom B.,Customer Success,2024-10-21 09:44:00,,,True,,mobile,2024-10,Monday
TKT-0072,Two factor authentication issue,Incident,Email,Pending,High,Kelechi E.,Customer Success,2024-11-21 06:39:00,,,False,,bug,2024-11,Thursday
TKT-0073,API rate limit exceeded,Question,Chat,Pending,Urgent,Fatima D.,Customer Success,2024-02-16 09:20:00,,,False,,api,2024-02,Friday
TKT-0074,Two factor authentication issue,Incident,Email,Pending,Low,Emeka C.,Technical Support,2025-02-15 03:29:00,,,True,,report,2025-02,Saturday
TKT-0075,Cannot login to account,Feature Request,Social Media,Closed,High,Chisom B.,Technical Support,2024-07-07 21:47:00,2024-07-08 04:47:00,7.0,False,4.0,report,2024-07,Sunday
TKT-0076,Billing charge incorrect,Problem,Phone,Open,Urgent,Kelechi E.,Billing,2025-04-10 22:19:00,,,False,,upgrade,2025-04,Thursday
TKT-0077,Email notifications not working,Problem,Chat,Pending,Urgent,Chisom B.,IT Helpdesk,2024-08-20 11:42:00,,,False,,report,2024-08,Tuesday
TKT-0078,Slow loading dashboard,Feature Request,Phone,Open,High,Oluwatosin A.,IT Helpdesk,2025-05-01 07:54:00,,,True,,billing,2025-05,Thursday
TKT-0079,Billing charge incorrect,Question,Social Media,Open,Low,Chisom B.,Billing,2024-12-05 06:41:00,,,True,,api,2024-12,Thursday
TKT-0080,Billing charge incorrect,Problem,Phone,Resolved,Low,Oluwatosin A.,Customer Success,2025-01-31 04:50:00,2025-02-04 12:50:00,104.0,False,2.0,mobile,2025-01,Friday
TKT-0081,Billing charge incorrect,Problem,Portal,Resolved,Medium,Fatima D.,Customer Success,2024-10-28 10:01:00,2024-10-31 09:01:00,71.0,False,5.0,billing,2024-10,Monday
TKT-0082,API rate limit exceeded,Incident,Portal,Resolved,Low,Oluwatosin A.,IT Helpdesk,2024-08-19 16:14:00,2024-08-22 23:14:00,79.0,False,4.0,report,2024-08,Monday
TKT-0083,Slow loading dashboard,Feature Request,Portal,Open,Medium,Kelechi E.,IT Helpdesk,2024-02-07 02:20:00,,,False,,billing,2024-02,Wednesday
TKT-0084,Slow loading dashboard,Incident,Email,Closed,Medium,Emeka C.,IT Helpdesk,2025-02-10 22:07:00,2025-02-13 00:07:00,50.0,False,4.0,api,2025-02,Monday
TKT-0085,Billing charge incorrect,Feature Request,Phone,Closed,Medium,Kelechi E.,Technical Support,2024-12-06 08:23:00,2024-12-07 13:23:00,29.0,False,4.0,api,2024-12,Friday
TKT-0086,Billing charge incorrect,Question,Phone,Closed,High,Fatima D.,Billing,2024-12-09 03:26:00,2024-12-09 16:26:00,13.0,False,3.0,billing,2024-12,Monday
TKT-0087,Feature not available on plan,Problem,Social Media,Resolved,Low,Emeka C.,Technical Support,2024-06-28 17:23:00,2024-07-05 00:23:00,151.0,False,5.0,bug,2024-06,Friday
TKT-0088,Feature not available on plan,Incident,Email,Resolved,High,Chisom B.,Technical Support,2024-05-19 22:48:00,2024-05-20 02:48:00,4.0,False,5.0,billing,2024-05,Sunday
TKT-0089,Invoice not generated,Feature Request,Social Media,Closed,Urgent,Kelechi E.,Technical Support,2025-01-17 16:13:00,2025-01-17 20:13:00,4.0,False,3.0,login,2025-01,Friday
TKT-0090,Account suspended incorrectly,Incident,Portal,Open,Low,Emeka C.,Billing,2024-03-20 05:48:00,,,False,,billing,2024-03,Wednesday
TKT-0091,Cannot login to account,Problem,Phone,Closed,High,Emeka C.,Billing,2024-06-25 13:07:00,2024-06-25 18:07:00,5.0,False,5.0,bug,2024-06,Tuesday
TKT-0092,App crashing on mobile,Incident,Social Media,Open,High,Chisom B.,Customer Success,2025-01-26 08:18:00,,,True,,billing,2025-01,Sunday
TKT-0093,Account suspended incorrectly,Incident,Portal,Open,Urgent,Emeka C.,Technical Support,2024-07-22 23:02:00,,,False,,upgrade,2024-07,Monday
TKT-0094,Account suspended incorrectly,Incident,Social Media,Resolved,Urgent,Oluwatosin A.,IT Helpdesk,2024-01-11 10:10:00,2024-01-11 11:10:00,1.0,False,4.0,email,2024-01,Thursday
TKT-0095,Report download failing,Feature Request,Chat,Pending,High,Chisom B.,Billing,2025-01-16 10:14:00,,,True,,billing,2025-01,Thursday
TKT-0096,Two factor authentication issue,Incident,Social Media,Pending,Medium,Kelechi E.,Customer Success,2024-03-15 08:12:00,,,False,,api,2024-03,Friday
TKT-0097,Data export failing,Problem,Chat,Closed,Urgent,Fatima D.,IT Helpdesk,2024-03-18 14:04:00,2024-03-18 17:04:00,3.0,False,3.0,login,2024-03,Monday
TKT-0098,Integration not working,Problem,Portal,Open,High,Kelechi E.,Billing,2024-01-30 11:53:00,,,False,,api,2024-01,Tuesday
TKT-0099,Data export failing,Question,Email,Open,Medium,Chisom B.,IT Helpdesk,2024-11-05 15:32:00,,,True,,report,2024-11,Tuesday
TKT-0100,Feature not available on plan,Problem,Chat,Resolved,Medium,Oluwatosin A.,Customer Success,2024-09-25 16:39:00,2024-09-27 16:39:00,48.0,False,3.0,billing,2024-09,Wednesday
TKT-0101,Report download failing,Feature Request,Chat,Resolved,High,Fatima D.,Billing,2024-10-12 21:24:00,2024-10-13 11:24:00,14.0,False,2.0,billing,2024-10,Saturday
TKT-0102,Cannot login to account,Feature Request,Chat,Pending,High,Chisom B.,Billing,2024-06-07 17:24:00,,,False,,api,2024-06,Friday
TKT-0103,Feature not available on plan,Feature Request,Social Media,Pending,Medium,Chisom B.,IT Helpdesk,2025-04-30 15:12:00,,,True,,bug,2025-04,Wednesday
TKT-0104,Integration not working,Feature Request,Portal,Closed,Medium,Chisom B.,Billing,2024-03-24 05:53:00,2024-03-26 04:53:00,47.0,False,2.0,email,2024-03,Sunday
TKT-0105,Data export failing,Incident,Phone,Resolved,Medium,Chisom B.,Billing,2025-05-09 15:57:00,2025-05-11 09:57:00,42.0,False,5.0,email,2025-05,Friday
TKT-0106,Integration not working,Question,Portal,Open,High,Oluwatosin A.,Billing,2024-01-27 20:30:00,,,False,,report,2024-01,Saturday
TKT-0107,Slow loading dashboard,Problem,Chat,Closed,Low,Chisom B.,Technical Support,2025-03-28 11:59:00,2025-04-02 10:59:00,119.0,False,2.0,api,2025-03,Friday
TKT-0108,Two factor authentication issue,Incident,Portal,Pending,High,Kelechi E.,Technical Support,2025-04-21 03:53:00,,,True,,billing,2025-04,Monday
TKT-0109,Cannot login to account,Question,Portal,Closed,Medium,Kelechi E.,IT Helpdesk,2024-01-10 08:13:00,2024-01-11 23:13:00,39.0,False,1.0,billing,2024-01,Wednesday
TKT-0110,Request for account upgrade,Incident,Phone,Pending,Low,Oluwatosin A.,Customer Success,2024-02-26 15:38:00,,,False,,billing,2024-02,Monday
TKT-0111,Email notifications not working,Problem,Chat,Closed,Low,Oluwatosin A.,Customer Success,2025-05-03 16:34:00,2025-05-08 17:34:00,121.0,False,3.0,mobile,2025-05,Saturday
TKT-0112,API rate limit exceeded,Question,Portal,Resolved,Low,Fatima D.,Billing,2025-01-10 21:40:00,2025-01-16 18:40:00,141.0,False,3.0,bug,2025-01,Friday
TKT-0113,Password reset not received,Feature Request,Social Media,Open,Urgent,Fatima D.,IT Helpdesk,2024-02-02 22:49:00,,,True,,email,2024-02,Friday
TKT-0114,Two factor authentication issue,Feature Request,Portal,Resolved,High,Fatima D.,IT Helpdesk,2024-01-19 20:12:00,2024-01-20 20:12:00,24.0,False,1.0,upgrade,2024-01,Friday
TKT-0115,Slow loading dashboard,Question,Social Media,Resolved,Urgent,Emeka C.,Customer Success,2024-06-22 05:31:00,2024-06-22 08:31:00,3.0,False,1.0,billing,2024-06,Saturday
TKT-0116,Invoice not generated,Incident,Chat,Resolved,High,Fatima D.,Technical Support,2024-02-10 10:42:00,2024-02-11 09:42:00,23.0,False,2.0,api,2024-02,Saturday
TKT-0117,Cannot login to account,Question,Social Media,Open,Low,Fatima D.,Technical Support,2024-11-10 13:17:00,,,True,,bug,2024-11,Sunday
TKT-0118,Feature not available on plan,Incident,Chat,Resolved,High,Emeka C.,IT Helpdesk,2024-02-04 07:49:00,2024-02-05 05:49:00,22.0,False,2.0,billing,2024-02,Sunday
TKT-0119,Cannot login to account,Question,Portal,Closed,High,Kelechi E.,IT Helpdesk,2024-10-20 04:33:00,2024-10-21 04:33:00,24.0,False,1.0,billing,2024-10,Sunday
TKT-0120,API rate limit exceeded,Problem,Portal,Pending,Urgent,Chisom B.,IT Helpdesk,2024-05-14 08:45:00,,,True,,billing,2024-05,Tuesday
TKT-0121,API rate limit exceeded,Question,Phone,Resolved,High,Emeka C.,Billing,2025-02-18 21:54:00,2025-02-19 18:54:00,21.0,False,3.0,billing,2025-02,Tuesday
TKT-0122,Two factor authentication issue,Question,Social Media,Open,Urgent,Oluwatosin A.,Technical Support,2024-04-12 04:15:00,,,False,,email,2024-04,Friday
TKT-0123,Feature not available on plan,Problem,Portal,Closed,Urgent,Fatima D.,Customer Success,2024-07-22 22:46:00,2024-07-23 02:46:00,4.0,False,3.0,bug,2024-07,Monday
TKT-0124,Email notifications not working,Question,Phone,Pending,Medium,Emeka C.,Billing,2025-03-25 17:40:00,,,True,,api,2025-03,Tuesday
TKT-0125,App crashing on mobile,Feature Request,Social Media,Open,High,Kelechi E.,Technical Support,2025-04-30 16:57:00,,,False,,bug,2025-04,Wednesday
TKT-0126,Email notifications not working,Question,Social Media,Resolved,Medium,Fatima D.,Technical Support,2024-10-30 18:09:00,2024-10-31 23:09:00,29.0,False,5.0,report,2024-10,Wednesday
TKT-0127,Integration not working,Problem,Email,Resolved,High,Chisom B.,IT Helpdesk,2025-03-31 20:34:00,2025-04-01 07:34:00,11.0,False,3.0,upgrade,2025-03,Monday
TKT-0128,App crashing on mobile,Feature Request,Social Media,Pending,High,Kelechi E.,Technical Support,2024-09-04 14:13:00,,,False,,api,2024-09,Wednesday
TKT-0129,Slow loading dashboard,Incident,Phone,Closed,High,Chisom B.,Customer Success,2024-05-03 14:07:00,2024-05-03 22:07:00,8.0,False,3.0,api,2024-05,Friday
TKT-0130,Data export failing,Incident,Phone,Closed,Urgent,Chisom B.,Customer Success,2024-04-07 05:31:00,2024-04-07 08:31:00,3.0,False,4.0,login,2024-04,Sunday
TKT-0131,Invoice not generated,Feature Request,Portal,Resolved,Urgent,Emeka C.,Technical Support,2024-01-26 09:31:00,2024-01-26 10:31:00,1.0,False,3.0,upgrade,2024-01,Friday
TKT-0132,Two factor authentication issue,Feature Request,Social Media,Resolved,Medium,Kelechi E.,Technical Support,2024-01-27 18:35:00,2024-01-29 18:35:00,48.0,False,4.0,bug,2024-01,Saturday
TKT-0133,Slow loading dashboard,Problem,Email,Resolved,High,Oluwatosin A.,Billing,2025-05-14 03:25:00,2025-05-14 11:25:00,8.0,False,5.0,api,2025-05,Wednesday
TKT-0134,Slow loading dashboard,Feature Request,Social Media,Pending,Urgent,Emeka C.,IT Helpdesk,2025-02-15 15:33:00,,,True,,email,2025-02,Saturday
TKT-0135,Account suspended incorrectly,Incident,Chat,Open,High,Kelechi E.,Billing,2024-08-31 00:23:00,,,True,,login,2024-08,Saturday
TKT-0136,Request for account upgrade,Problem,Portal,Pending,Urgent,Emeka C.,IT Helpdesk,2024-10-25 15:10:00,,,True,,bug,2024-10,Friday
TKT-0137,Password reset not received,Incident,Social Media,Closed,Urgent,Fatima D.,Customer Success,2024-07-30 22:13:00,2024-07-30 23:13:00,1.0,False,5.0,bug,2024-07,Tuesday
TKT-0138,Email notifications not working,Question,Chat,Resolved,High,Emeka C.,Billing,2024-08-23 17:21:00,2024-08-24 03:21:00,10.0,False,5.0,report,2024-08,Friday
TKT-0139,Report download failing,Incident,Chat,Resolved,High,Chisom B.,Customer Success,2024-06-11 15:22:00,2024-06-12 13:22:00,22.0,False,4.0,login,2024-06,Tuesday
TKT-0140,Email notifications not working,Feature Request,Phone,Closed,High,Oluwatosin A.,Billing,2024-05-27 22:05:00,2024-05-28 17:05:00,19.0,False,5.0,mobile,2024-05,Monday
TKT-0141,Billing charge incorrect,Question,Email,Pending,Medium,Kelechi E.,Billing,2024-01-26 21:57:00,,,False,,upgrade,2024-01,Friday
TKT-0142,Feature not available on plan,Question,Social Media,Resolved,Medium,Oluwatosin A.,Billing,2024-11-30 15:30:00,2024-12-03 08:30:00,65.0,False,1.0,upgrade,2024-11,Saturday
TKT-0143,Cannot login to account,Feature Request,Social Media,Closed,Low,Kelechi E.,Technical Support,2025-03-27 05:59:00,2025-03-31 18:59:00,109.0,False,1.0,api,2025-03,Thursday
TKT-0144,App crashing on mobile,Incident,Chat,Pending,Urgent,Chisom B.,Technical Support,2024-05-25 14:41:00,,,False,,api,2024-05,Saturday
TKT-0145,Slow loading dashboard,Problem,Phone,Pending,Medium,Chisom B.,IT Helpdesk,2025-02-08 09:36:00,,,True,,api,2025-02,Saturday
TKT-0146,Email notifications not working,Problem,Chat,Closed,High,Emeka C.,Billing,2025-04-24 07:00:00,2025-04-25 01:00:00,18.0,False,3.0,login,2025-04,Thursday
TKT-0147,Feature not available on plan,Feature Request,Chat,Pending,High,Kelechi E.,Billing,2024-12-07 03:29:00,,,True,,mobile,2024-12,Saturday
TKT-0148,Two factor authentication issue,Question,Phone,Closed,Medium,Kelechi E.,Technical Support,2025-05-05 04:30:00,2025-05-08 00:30:00,68.0,False,4.0,report,2025-05,Monday
TKT-0149,App crashing on mobile,Feature Request,Social Media,Open,Low,Fatima D.,Technical Support,2024-09-27 22:23:00,,,True,,mobile,2024-09,Friday
TKT-0150,Integration not working,Problem,Social Media,Closed,Low,Fatima D.,Customer Success,2025-01-02 18:31:00,2025-01-08 11:31:00,137.0,False,4.0,login,2025-01,Thursday
TKT-0151,Data export failing,Problem,Email,Pending,Low,Fatima D.,Technical Support,2024-07-21 08:52:00,,,True,,email,2024-07,Sunday
TKT-0152,Billing charge incorrect,Question,Chat,Closed,Medium,Oluwatosin A.,Billing,2024-07-28 05:49:00,2024-07-30 09:49:00,52.0,False,4.0,upgrade,2024-07,Sunday
TKT-0153,Data export failing,Incident,Phone,Open,Medium,Chisom B.,IT Helpdesk,2024-09-27 04:46:00,,,False,,api,2024-09,Friday
TKT-0154,Billing charge incorrect,Problem,Social Media,Open,Low,Oluwatosin A.,IT Helpdesk,2024-03-20 08:12:00,,,True,,login,2024-03,Wednesday
TKT-0155,App crashing on mobile,Feature Request,Phone,Closed,Urgent,Kelechi E.,Customer Success,2024-05-05 23:02:00,2024-05-06 01:02:00,2.0,False,1.0,api,2024-05,Sunday
TKT-0156,Feature not available on plan,Incident,Social Media,Pending,Medium,Fatima D.,Technical Support,2024-05-01 09:56:00,,,True,,api,2024-05,Wednesday
TKT-0157,App crashing on mobile,Incident,Phone,Resolved,Urgent,Chisom B.,Customer Success,2025-04-27 20:42:00,2025-04-28 00:42:00,4.0,False,4.0,bug,2025-04,Sunday
TKT-0158,Request for account upgrade,Feature Request,Phone,Closed,Low,Emeka C.,Technical Support,2025-02-16 14:58:00,2025-02-20 07:58:00,89.0,False,4.0,report,2025-02,Sunday
TKT-0159,API rate limit exceeded,Problem,Phone,Open,Medium,Kelechi E.,Billing,2025-03-09 11:05:00,,,True,,report,2025-03,Sunday
TKT-0160,Report download failing,Question,Social Media,Pending,Low,Chisom B.,IT Helpdesk,2024-04-16 10:19:00,,,False,,mobile,2024-04,Tuesday
TKT-0161,Email notifications not working,Feature Request,Social Media,Closed,High,Fatima D.,IT Helpdesk,2024-10-09 10:49:00,2024-10-10 07:49:00,21.0,False,3.0,billing,2024-10,Wednesday
TKT-0162,Invoice not generated,Question,Email,Pending,High,Emeka C.,IT Helpdesk,2025-02-15 23:30:00,,,True,,email,2025-02,Saturday
TKT-0163,Email notifications not working,Incident,Portal,Closed,Medium,Fatima D.,Billing,2024-03-19 06:21:00,2024-03-21 17:21:00,59.0,False,3.0,api,2024-03,Tuesday
TKT-0164,Two factor authentication issue,Problem,Portal,Pending,Urgent,Chisom B.,Billing,2024-03-27 04:46:00,,,True,,billing,2024-03,Wednesday
